,job_title,salary
332,It Support инженер,"1,800,000 - 2,100,000"
333,Marketing manager,"2,100,000 - 2,500,000"
334,СУУРЬЛУУЛАЛТЫН АЖИЛТАН,"1,200,000 - 1,500,000"
335,Ложистикын менежер,"2,100,000 - 2,500,000"
336,Маркетинг менежер,"1,800,000 - 2,100,000"
337,НЯГТЛАН БОДОГЧ,"2,100,000 - 2,500,000"
338,НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
339,В АНГИЛАЛТАЙ ЖОЛООЧ /Төв үйлдвэр/,"1,000,000 - 1,200,000"
340,ХҮНСНИЙ ЭРҮҮЛ АХУЙЧ (15/15) Цагаан хад,"1,500,000 - 1,800,000"
341,Хүний нөөцийн менежер,"1,800,000 - 2,100,000"
342,Борлуулалтын мэргэжилтэн /Хувьдаа машинтай/,"1,200,000 - 1,500,000 Тохиролцоно"
343,Нярав,"1,000,000 - 1,200,000"
344,Байгууллагын борлуулалт хариуцсан менежер,"1,200,000 - 1,500,000"
345,Үйлдвэрлэл хариуцсан чанарын мэргэжилтэн,"1,500,000 - 1,800,000 Тохиролцоно"
346,Оффис менежер,"1,200,000 - 1,500,000"
347,Барилгын зураг төслийн инженер,"1,500,000 - 1,800,000"
348,МЕРЧАНТ МЕНЕЖЕР,"1,500,000 - 1,800,000"
349,Back-End хөгжүүлэгч,"3,000,000 - 4,000,000"
350,Маркетингийн менежер,"1,500,000 - 1,800,000"
351,Англи хэлний багш,"1,500,000 - 1,800,000"
352,МЭДЭЭЛЭЛ ТЕХНОЛОГИЙН ИНЖЕНЕР,"1,500,000 - 1,800,000"
353,ХУДАЛДААНЫ ЗӨВЛӨХ,"1,000,000 - 1,200,000"
354,Маркетингийн менежер,"1,800,000 - 2,100,000"
355,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
356,ЗЭЭЛИЙН ЭДИЙН ЗАСАГЧ,"1,500,000 - 1,800,000 Тохиролцоно"
357,Хүний нөөцийн мэргэжилтэн,"1,800,000 - 2,100,000 Тохиролцоно"
358,ХҮНСНИЙ ХИМИЧ,"1,500,000 - 1,800,000"
359,Агуулахын туслах нярав /Эрэгтэй/,"1,200,000 - 1,500,000 Тохиролцоно"
360,Үйлчлэгч,"1,200,000 - 1,500,000"
361,Төмөр хийцийн будагчин,"1,500,000 - 1,800,000"
362,Маркетингийн мэргэжилтэн,"1,200,000 - 1,500,000"
363,ДОТООД ХЯНАЛТЫН МЭРГЭЖИЛТЭН /МИЛКО ТРЕЙД ХХК/,"1,500,000 - 1,800,000"
364,"Эрүүл ахуйч, хоол зүйч","2,100,000 - 2,500,000 Тохиролцоно"
365,БАРИЛГЫН ИНЖЕНЕР,"1,800,000 - 2,100,000"
366,БОРЛУУЛАЛТЫН ТҮГЭЭГЧ,"1,200,000 - 1,500,000"
367,НЯГТЛАН БОДОГЧ- ОУ-ЫН СҮЛЖЭЭ КОФЕ ШОП-ЫН 1 САЛБАРТ,"1,800,000 - 2,100,000"
368,ХЭВЛЭЛИЙН ГРАФИК ДИЗАЙНЕР,"2,100,000 - 2,500,000"
369,Хово жолооч,"1,000,000 - 1,200,000"
370,Оффис туслах/ Ресепшн,"1,000,000 - 1,200,000"
371,Зочид буудлын менежер,"1,200,000 - 1,500,000"
372,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
373,Хөрөнгө хариуцсан эрэгтэй нярав,"1,200,000 - 1,500,000"
374,ХУУЛИЙН ЗӨВЛӨХ /АНГЛИ ХЭЛТЭЙ/,"2,500,000 - 3,000,000 Тохиролцоно"
375,Худалдааны зөвлөх /үндсэн цалин+борлуулалтын хувь/,"1,500,000 - 1,800,000"
376,Бренд бүтээгдэхүүний худалдааны зөвлөх,"1,500,000 - 1,800,000"
377,Ахлах ажилтан буюу Касс,"1,800,000 - 2,100,000"
378,Нягтлан бодогч,"1,500,000 - 1,800,000"
379,График дизайнер,"1,800,000 - 2,100,000"
380,Бизнесийн албаны менежер,"1,800,000 - 2,100,000"
381,Камер хяналтын ажилтан,"1,000,000 - 1,200,000"
382,БОРЛУУЛАГЧ /барьцаа шаардана/,"1,200,000 - 1,500,000"
383,Ахлах нягтлан бодогч,"2,500,000 - 3,000,000"
384,Барилгын ерөнхий инженер,"3,000,000 - 4,000,000"
385,Систем хяналтын инженер,"1,500,000 - 1,800,000"
386,Утсан борлуулалтын ажилтан /гэрээт/,"800,000 - 1,000,000"
387,Харилцагчийн зөвлөх,"800,000 - 1,000,000"
388,Салбарын үйлчилгээний ажилтан,"1,000,000 - 1,200,000"
389,Аюулгүй ажиллагааны мэргэжилтэн /уурхайд/,"1,200,000 - 1,500,000"
390,Автогрейдерийн оператор,"1,500,000 - 1,800,000"
391,Уурхайн  уулын сургагч,"1,800,000 - 2,100,000"
392,Уурхайн  уулын сургагч,"1,800,000 - 2,100,000"
393,"Дотоод хяналт, шалгалтын албаны ажилтан","1,800,000 - 2,100,000"
394,"Дотоод хяналт, шалгалтын албаны ажилтан","1,800,000 - 2,100,000"
395,Хүний нөөцийн сонгон шалгаруулалтын мэргэжилтэн,"1,800,000 - 2,100,000"
396,Бизнес төлөвлөгч,"2,100,000 - 2,500,000"
397,Сургалтын менежер,"2,100,000 - 2,500,000"
398,Сургалтын мэргэжилтэн,"1,800,000 - 2,100,000"
399,Харуул хамгаалалтын ажилтан /Хөдөө ажиллах/,"800,000 - 1,000,000"
400,Механик /хөдөө ажиллах/,"1,200,000 - 1,500,000"
401,ҮЙЛДВЭРИЙН ТОНОГ ТӨХӨӨРӨМЖИЙН МАШИНСТ /ОПЕРАТОРИ/,"1,200,000 - 1,500,000"
402,Үйлчилгээний ажилтан /хотод ажиллах/,"800,000 - 1,000,000"
403,Уурхайн  засварын сургагч,"2,100,000 - 2,500,000"
404,Механик /УБ хотод/,"1,800,000 - 2,100,000"
405,Хуулийн асуудал хариуцсан ажилтан, Тохиролцоно
406,Авто цахилгаанчин,"1,200,000 - 1,500,000"
407,Жолооч,"800,000 - 1,000,000"
408,ХАБЭА ажилтан,"1,800,000 - 2,100,000"
409,35-аас доош насны В ангилалтай хүргэлтийн жолооч,"1,200,000 - 1,500,000"
410,Угтах үйлчилгээний ажилтан /Оффист хотод ажиллах/,"1,200,000 - 1,500,000"
411,Талбайн инженер,"1,800,000 - 2,100,000 Тохиролцоно"
412,Худалдааны төлөөлөгч,"1,500,000 - 1,800,000"
413,НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
414,БАЙГАЛЬ ОРЧНЫ МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
415,Хүний нөөцийн менежер,"1,500,000 - 1,800,000"
416,"Уул уурхайн ашиглалтын инженер, Админ","1,200,000 - 1,500,000 Тохиролцоно"
417,"Гадаад харилцааны албаны дарга Хятад, Англи хэлтэй","3,000,000 - 4,000,000"
418,Зураглаач,"1,000,000 - 1,200,000"
419,Угтах үйлчилгээний ажилтан /Оффист хотод ажиллах/,"1,200,000 - 1,500,000"
420,Үйлчилгээний ажилтан /хотод ажиллах/,"800,000 - 1,000,000"
421,"Дотоод хяналт, шалгалтын албаны ажилтан","1,800,000 - 2,100,000"
422,"Дотоод хяналт, шалгалтын албаны менежер","1,800,000 - 2,100,000"
423,Business Analyst/Project coordinator,"2,100,000 - 2,500,000 Тохиролцоно"
424,Бизнес төлөвлөгч,"2,100,000 - 2,500,000"
425,Харуул хамгаалалтын ажилтан /Хөдөө ажиллах/,"800,000 - 1,000,000"
426,Барилгын тогооч,"800,000 - 1,000,000"
427,Авто цахилгаанчин /Хөдөө ажиллах/,"1,200,000 - 1,500,000"
428,Нягтлан бодогч,"1,500,000 - 1,800,000 Тохиролцоно"
429,Засвар төлөвлөлтийн туслах инженер/хөдөө ажиллах/,"1,200,000 - 1,500,000"
430,Уулын туслах инженер /Диспетчер/,"1,200,000 - 1,500,000"
431,Дата аналист,"1,500,000 - 1,800,000"
432,Хүний нөөцийн сонгон шалгаруулалтын мэргэжилтэн,"1,800,000 - 2,100,000"
433,Сургалтын мэргэжилтэн,"1,800,000 - 2,100,000"
434,Store trainer /Дэлгүүрийн сургагч/,"1,200,000 - 1,500,000"
435,Борлуулалтын түгээгч,"1,000,000 - 1,200,000"
436,Зохион байгуулагч,"1,000,000 - 1,200,000"
437,Сошиал медиа хариуцсан менежер,"1,200,000 - 1,500,000"
438,Борлуулалтын менежер,"2,100,000 - 2,500,000"
439,Сургалтын менежер,"2,100,000 - 2,500,000"
440,Уурхайн  засварын сургагч,"2,100,000 - 2,500,000"
441,Аюулгүй ажиллагааны мэргэжилтэн /уурхайд/,"1,200,000 - 1,500,000"
442,Автогрейдерийн оператор,"1,500,000 - 1,800,000"
443,УУЛЫН МАСТЕР,"1,800,000 - 2,100,000"
444,Ханган нийлүүлэлтийн менежер,"1,800,000 - 2,100,000"
445,Тэсэлгээний инженер,"2,100,000 - 2,500,000"
446,Өрмийн оператор,"2,500,000 - 3,000,000"
447,ХЯТАД ХЭЛТЭЙ ГАДААД ХАРИЛЦААНЫ МЕНЕЖЕР /СХД-т/,"1,800,000 - 2,100,000"
448,Захирлын жолооч,"1,500,000 - 1,800,000"
449,Тооцооны нягтлан бодогч-Ахуйн гоо сайхны бараа,"1,800,000 - 2,100,000"
450,Туслах техникч,"1,200,000 - 1,500,000"
451,"Захиалга, нөөцийн мэргэжилтэн","1,200,000 - 1,500,000"
452,Туслах тогооч ажилд авна.,"1,200,000 - 1,500,000 Тохиролцоно"
453,Хүний нөөцийн менежер,"1,200,000 - 1,500,000"
454,ТОГООЧ,"1,800,000 - 2,100,000"
455,ХАНГАМЖИЙН АЖИЛТАН,"2,100,000 - 2,500,000 Тохиролцоно"
456,ХҮНИЙ НӨӨЦИЙН АХЛАХ АЖИЛТАН,"3,000,000 - 4,000,000"
457,УУЛЫН ТУСЛАХ МАСТЕР,"2,100,000 - 2,500,000"
458,Засварын төлөвлөгч,"2,100,000 - 2,500,000"
459,УУЛЫН АХЛАХ ИНЖЕНЕР  / SENIOR MINING ENGINEER,"3,000,000 - 4,000,000"
460,БАРИЛГЫН СУПЕРИНТЕНДЭНТ/ CONSTRUCTION SUPT.,"3,000,000 - 4,000,000"
461,Тусгай активын мэргэжилтэн,"1,800,000 - 2,100,000"
462,Уул уурхайн компаны нягтлан бодогч,"2,500,000 - 3,000,000 Тохиролцоно"
463,Нягтлан бодогч,"1,800,000 - 2,100,000"
464,Махны үйлдвэрийн технологич,"1,800,000 - 2,100,000"
465,Системийн администратор,"1,500,000 - 1,800,000 Тохиролцоно"
466,Үл хөдлөх хөрөнгийн борлуултын менежер,"1,800,000 - 2,100,000"
467,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
468,Хятад хэлний багш,"1,500,000 - 1,800,000 Тохиролцоно"
469,Гадаад харилцааны менежер /Солонгос хэлтэй/,"1,200,000 - 1,500,000"
470,Бага ангийн багш,"1,800,000 - 2,100,000 Тохиролцоно"
471,Маркетингийн менежер,"1,500,000 - 1,800,000 Тохиролцоно"
472,Маркетинг менежер,"1,800,000 - 2,100,000 Тохиролцоно"
473,"МАРКЕТИНГ, БОРЛУУЛАЛТЫН АЛБАНЫ ДАРГА","3,000,000 - 4,000,000"
474,ДИЖИТАЛ МАРКЕТИНГИЙН МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
475,Маркетингийн менежер (Шинэ төгсөгч),"1,000,000 - 1,200,000"
476,ГРАФИК ДИЗАЙНЕР,"1,800,000 - 2,100,000"
477,Бэйкэрид туслах ажилтан (оюутан байж болно),"800,000 - 1,000,000"
478,БРЭНД МЕНЕЖЕР (ХҮҮХДИЙН ТОГЛООМ),"2,100,000 - 2,500,000"
479,Борлуулалтын менежер /ХОРЕКА суваг хариуцсан/,"2,500,000 - 3,000,000"
480,"Чанар хяналтын инженер /Цахилгаан,Оюу толгойн/","2,500,000 - 3,000,000"
481,Эдийн засагч,"1,200,000 - 1,500,000"
482,Бренд хувцасны худалдааны зөвлөх /Хүүхдийн 100/,"1,200,000 - 1,500,000"
483,Борлуулалтын ахлах менежер / ЭРДЭНЭТ /,"2,100,000 - 2,500,000"
484,Тоног төхөөрөмжийн механик,"1,800,000 - 2,100,000 Тохиролцоно"
485,Тоног төхөөрөмжийн цахилгаанчин,"1,800,000 - 2,100,000"
486,физикийн багш,"1,200,000 - 1,500,000 Тохиролцоно"
487,PROJECT OFFICER OF SOAP II PROJECT,"1,800,000 - 2,100,000"
488,Мэдээллийн технологийн аудитор,"3,000,000 - 4,000,000"
489,ЗОЧИД БУУДЛЫН РЕСЕПШИН,"1,200,000 - 1,500,000"
490,"ЭМ ХАНГАН НИЙЛҮҮЛЭХ ТӨВД ЭМ ЗҮЙЧ, ЭМ НАЙРУУЛАГЧ","1,500,000 - 1,800,000"
491,АХЛАХ НЯГТЛАН БОДОГЧ /УЛААНБААТАР/,"2,500,000 - 3,000,000"
492,РЕСТОРАНЫ КАСС,"800,000 - 1,000,000"
493,БОРЛУУЛАЛТЫН МЕНЕЖЕР,"1,800,000 - 2,100,000"
494,ХҮНИЙ НӨӨЦИЙН АХЛАХ МЕНЕЖЕР,"1,800,000 - 2,100,000"
495,бүжгийн багш,"1,200,000 - 1,500,000 Тохиролцоно"
496,Агуулахын нярав /Алтай хотхон/,"1,500,000 - 1,800,000"
497,Инновайтив фандинг энтерпрайз ХХК,"1,200,000 - 1,500,000"
498,Үйлдвэрийн шугамын ажилтан,"1,200,000 - 1,500,000"
499,Үйлчлэгч ажилд авна,"800,000 - 1,000,000"
500,Бага ангийн багш,"1,200,000 - 1,500,000 Тохиролцоно"
501,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,200,000 - 1,500,000"
502,БАРМЕН,"800,000 - 1,000,000"
503,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
504,"Эрэгтэй, эмэгтэй-Үйлчилгээний ажилтан /ээлжийн/","1,000,000 - 1,200,000"
505,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"1,200,000 - 1,500,000"
506,АХЛАХ  НЯГТЛАН БОДОГЧ /ХӨДӨӨ АЖИЛЛАХ БОЛОМЖТОЙ/,"2,100,000 - 2,500,000"
507,Гал тогооны угаагч,"600,000 - 800,000"
508,ЗӨӨГЧ АЖИЛД ШАЛГАРУУЛЖ АВНА. /эмэгтэй/,"600,000 - 800,000"
509,Гоо сайханч сургаж ажилд авна.,"600,000 - 800,000"
510,математикийн багш,"1,200,000 - 1,500,000 Тохиролцоно"
511,Тогооч,"800,000 - 1,000,000"
512,МХУЗ - ын багш,"1,200,000 - 1,500,000 Тохиролцоно"
513,БАРИЛГЫН НЯГТЛАН БОДОГЧ -УБИД,"1,800,000 - 2,100,000"
514,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
515,НЯГТЛАН БОДОГЧ-ХУДАЛДААНЫ,"1,800,000 - 2,100,000"
516,НЯГТЛАН БОДОГЧ-УБИД,"1,800,000 - 2,100,000"
517,Хүнсний технологич (Бэйкэри),"1,500,000 - 1,800,000"
518,Цахилгаанчин,"1,200,000 - 1,500,000"
519,МАРКЕТИНГИЙН МЭРГЭЖИЛТЭН    /Монгол Контент ХХК/,"1,500,000 - 1,800,000"
520,Тооцооны нябо,"1,200,000 - 1,500,000"
521,"Бэлтгэгч, туслах тогооч","1,200,000 - 1,500,000"
522,Үйлчлэгч,"1,200,000 - 1,500,000"
523,ЭКСКАВАТОРЫН ОПЕРАТОР,"2,100,000 - 2,500,000"
524,Нүүрс тээврийн жолооч,"3,000,000 - 4,000,000"
525,АЖ АХУЙН АЖИЛТАН,"1,200,000 - 1,500,000"
526,Халдвар судлаач эмч,"1,200,000 - 1,500,000"
527,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,200,000 - 1,500,000"
528,Туслах ажилтан,"1,800,000 - 2,100,000 Тохиролцоно"
529,Хамгаалагч,"1,000,000 - 1,200,000"
530,НЯГТЛАН БОДОГЧ,"1,800,000 - 2,100,000"
531,Дотоод худалдан авалтын мэргэжилтэн,"1,200,000 - 1,500,000"
532,ТЕХНИКИЙН ИНЖЕНЕР,"1,500,000 - 1,800,000"
533,Кассын нярав,"1,200,000 - 1,500,000"
534,ЭМЧ ТӨЛӨӨЛӨГЧ,"1,800,000 - 2,100,000"
535,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
536,Full-Stack Developer,"3,000,000 - 4,000,000 Тохиролцоно"
537,ХАБЭА ажилтан авна.,"2,100,000 - 2,500,000"
538,Нягтлан бодогч,"1,800,000 - 2,100,000 Тохиролцоно"
539,Хуулийн мэргэжилтэн,"2,100,000 - 2,500,000"
540,Нэрийн дэлгүүрийн худалдагч,"1,200,000 - 1,500,000"
541,САУН ХАРИУЦСАН МЕНЕЖЕР /ЭЭЛЖИЙН/,"1,500,000 - 1,800,000 Тохиролцоно"
542,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"1,500,000 - 1,800,000"
543,Барилгын хяналтын инженер,"2,500,000 - 3,000,000 Тохиролцоно"
544,ХАБЭА хариуцсан ажилтан,"2,100,000 - 2,500,000 Тохиролцоно"
545,Дотоод аудитор,"2,100,000 - 2,500,000"
546,IT инженер (presales engineer),"2,500,000 - 3,000,000 Тохиролцоно"
547,Борлуулалтын мэргэжилтэн,"1,500,000 - 1,800,000"
548,Брэнд хариуцсан менежер,"1,200,000 - 1,500,000"
549,ЖОЛООЧ (B ангилалтай),"1,000,000 - 1,200,000"
550,ТЭЗҮ компани Баяжуулагч инженер авна.,"800,000 - 1,000,000 Тохиролцоно"
551,Хүнсний эрүүл ахуйч,"1,000,000 - 1,200,000"
552,Ковшийн оператор,"1,800,000 - 2,100,000"
553,Уул уурхайн зураг төслийн компанид инженер,"800,000 - 1,000,000 Тохиролцоно"
554,Нягтлан бодогч,"1,800,000 - 2,100,000"
555,Авто замын инженер ажилд авна.,"2,500,000 - 3,000,000"
556,БАЙГАЛЬ ОРЧНЫ МЭРГЭЖИЛТЭН,"2,100,000 - 2,500,000"
557,Тээвэр борлуулалтын мэргэжилтэн,"2,100,000 - 2,500,000"
558,сувилагч,"1,500,000 - 1,800,000 Тохиролцоно"
559,Ахлах нягтлан бодогч /Яармагт ажиллах/,"1,800,000 - 2,100,000"
560,ДИСПЕТЧЕР,"1,200,000 - 1,500,000"
561,Борлуулалтын ахлах менежер,"1,800,000 - 2,100,000 Тохиролцоно"
562,Менежер,"2,100,000 - 2,500,000 Тохиролцоно"
563,Худалдааны төлөөлөгч /Ханбогд/,"1,200,000 - 1,500,000"
564,Үйл ажиллагаа хариуцсан менежер,"2,500,000 - 3,000,000"
565,Хүнд машин механизмын засварчин/Механик,"2,100,000 - 2,500,000"
566,Дата аналист /Эрсдэлийн удирдлагын газар/,"2,100,000 - 2,500,000"
